,Nombre,Anterior,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif.Año 2021
0,IBEX 35®,"9.040,20","8.993,40","-0,52","9.046,30","8.993,40",17/11/2021,17:38:00,"11,39"
1,IBEX 35® con Dividendos,"27.796,50","27.652,70","-0,52","27.815,50","27.652,70",17/11/2021,17:38:00,"13,98"
2,IBEX MEDIUM CAP®,"13.719,40","13.619,70","-0,73","13.736,60","13.619,70",17/11/2021,17:38:00,"7,11"
3,IBEX SMALL CAP®,"8.524,40","8.501,20","-0,27","8.557,90","8.484,20",17/11/2021,17:38:00,"4,98"
4,IBEX 35® Bancos,"502,40","499,30","-0,62","504,40","499,30",17/11/2021,17:38:00,"32,76"
5,IBEX 35® Energía,"1.314,30","1.314,80","0,04","1.318,00","1.309,90",17/11/2021,17:38:00,"1,50"
6,IBEX 35® Construcción,"1.551,90","1.540,40","-0,74","1.558,70","1.539,50",17/11/2021,17:38:00,"9,22"
7,IBEX TOP Dividendo®,"2.526,90","2.517,50","-0,37","2.528,50","2.511,80",17/11/2021,17:38:00,"15,80"
8,IBEX 35® con Dividendos Netos,"23.248,50","23.128,20","-0,52","23.264,40","23.128,20",17/11/2021,17:38:00,"13,53"
9,IBEX 35® Inverso,"2.129,10","2.140,10","0,52","2.140,10","2.127,60",17/11/2021,17:38:00,"-14,19"
10,IBEX 35® Doble Inverso,"226,40","228,70","1,02","228,70","226,10",17/11/2021,17:38:00,"-27,83"
11,IBEX 35® Inverso X3,"8.973,10","9.112,20","1,55","9.112,20","8.954,60",17/11/2021,17:38:00,"688,39"
12,IBEX 35® Inverso X5,"901,40","924,70","2,58","924,70","898,30",17/11/2021,17:38:00,"-62,11"
13,IBEX 35® Inverso X10,"18,00","18,90","5,00","18,90","17,90",17/11/2021,17:38:00,"-91,73"
14,IBEX 35® Doble Apalancado,"4.299,80","4.255,30","-1,03","4.305,60","4.255,30",17/11/2021,17:38:00,"21,55"
15,IBEX 35® Doble Apalancado Bruto,"20.387,10","20.176,20","-1,03","20.415,00","20.176,20",17/11/2021,17:38:00,"27,27"
16,IBEX 35® Doble Apalancado Neto,"16.931,80","16.756,60","-1,03","16.955,00","16.756,60",17/11/2021,17:38:00,"26,28"
17,IBEX 35® Apalancado X3,"608,60","599,10","-1,56","609,80","599,10",17/11/2021,17:38:00,"29,96"
18,IBEX 35® Apalancado Neto X3,"7.275,80","7.162,80","-1,55","7.290,70","7.162,80",17/11/2021,17:38:00,"37,61"
19,IBEX 35® Apalancado Neto X5,"418,90","408,10","-2,58","420,30","408,10",17/11/2021,17:38:00,"53,77"
20,IBEX 35® Apalancado Neto X10,"415,50","394,00","-5,17","418,30","394,00",17/11/2021,17:38:00,"39,62"
21,IBEX 35® Capped Net Return,"23.312,10","23.191,50","-0,52","23.328,00","23.191,50",17/11/2021,17:38:00,"13,53"
22,IBEX 35® Impacto Div,"211,80","211,80",- ,"211,80","211,80",17/11/2021,17:38:00,- 
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"184,00","183,30","-0,38","184,10","183,30",17/11/2021,17:38:00,"5,53"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"191,40","190,60","-0,42","191,50","190,60",17/11/2021,17:38:00,"7,20"
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"197,60","196,50","-0,56","197,70","196,50",17/11/2021,17:38:00,"9,35"
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"198,20","196,90","-0,66","198,40","196,90",17/11/2021,17:38:00,"10,87"
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"133,30","132,80","-0,38","133,40","132,80",17/11/2021,17:38:00,"5,48"
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"137,10","136,50","-0,44","137,20","136,50",17/11/2021,17:38:00,"7,73"
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"143,90","143,10","-0,56","144,00","143,10",17/11/2021,17:38:00,"8,82"
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"139,10","138,20","-0,65","139,20","138,20",17/11/2021,17:38:00,"10,38"
31,VIBEX®,"14,61","14,74","0,89","14,74","14,74",17/11/2021, ,"-32,85"
32,IBEX 35® Skew,"7,24","7,16","-1,10","7,16","7,16",17/11/2021, ,"7,19"
33,IBEX 35® BuyWrite,"1.476,10","1.471,50","-0,31","1.471,50","1.471,50",17/11/2021, ,"10,41"
