title,neighborhood,price,url,description
Piso  Ford roig-montjuic. Piso con 3 habitaciones con ascensor y aire acondicionado,Girona - Montjuïc,325.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_aire_acondicionado_montjuic-girona-i4860003363284.htm?f=&geo=c&from=list&lo=55,"Fantástico piso esquinero de 3 habitaciones y 2 baños con 110 m² para llenarlos de vida en Montjuïc, rodeado de naturale..."
"Piso  Emili grahit. Piso con 6 habitaciones con ascensor, parking y calefacción",Girona - Eixample Nord,450.000 €,https://www.habitaclia.com/comprar-piso-con_6_habitaciones_con_ascensor_parking_y_calefaccion_eixample_nord-girona-i4860003363296.htm?f=&geo=c&from=list&lo=55,Piso de 205m2 con Gran Potencial en medio del Eixample con excelentes vistas    A pocos minutos del centro de Girona y...
Ático  en  Eixample Nord. Atico duplex exclusivo en el corazon de girona. 234m² utiles y 9,Girona - Eixample Nord,999.000 €,https://www.habitaclia.com/comprar-atico-duplex_exclusivo_en_el_corazon_de_234m2_utiles_y_9_eixample_nord-girona-i4309002466474.htm?f=&geo=c&from=list&lo=55,"Atico dúplex exclusivo en el corazón de Girona sobre la Plaça de Miquel Santaló, soleado y con vistas privilegiadas al c..."
"Piso  Jaume i. Piso con 5 habitaciones con ascensor, calefacción y aire acondic",Girona - Eixample Nord,395.000 €,https://www.habitaclia.com/comprar-piso-con_5_habitaciones_con_ascensor_calefaccion_y_aire_acondic_eixample_nord-girona-i4860003363306.htm?f=&geo=c&from=list&lo=55," PISO DE GRANDES POSIBILIDADES EN EL CORAZÓN DE GIRONA  En la Gran Vía de Jaime I, encontramos este piso con muchas p..."
Casa adosada  en  Palau. Oportunitat casa a palau.,Girona - Palau,525.000 €,https://www.habitaclia.com/comprar-casa_adosada-oportunitat_casa_a_palau_palau-girona-i9336004240940.htm?f=&geo=c&from=list&lo=55,"Fantàstica casa a la zona de Palau de Girona. Consta de 3 plantes +golfes. Garatge amb capacitat per un o dos cotxes, gr..."
Piso  Ford roig-montjuic. Piso con 2 habitaciones con ascensor y aire acondicionado,Girona - Montjuïc,250.000 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_y_aire_acondicionado_montjuic-girona-i4860003363293.htm?f=&geo=c&from=list&lo=55,"Amplio piso de 2 habitaciones y 2 baños con 110 m² para llenarlos de vida en Montjuïc, rodeado de naturaleza y cerca de..."
Piso  Mig dia visitas al 674832486. Oportunidad 674832486,Girona - Eixample Sud-Migdia,165.000 €,https://www.habitaclia.com/comprar-piso-oportunidad_674832486_eixample_sud_migdia-girona-i26297004233468.htm?f=&geo=c&from=list&lo=55,A DESTACAR :   para visitas para este miercoles dia dia 13 apartir de las DORMITORIOS ZONA MIG DIA...
Dúplex  en  Centre-Barri Vell. Dúplex de 150m2 al casco antiguo de gerona con vistas al río ony,Girona - Centre-Barri Vell,485.000 €,https://www.habitaclia.com/comprar-duplex-de_150m2_al_casco_antiguo_de_gerona_con_vistas_al_rio_ony_centre_barri_vell-girona-i4309002466478.htm?f=&geo=c&from=list&lo=55,"Dúplex de 150m2 y 4 habitaciones dobles en el Casco Antiguo de Girona, sobre el río Onyar i con vistas a la Plaza Indepe..."
"Piso  en  Eixample Nord. Piso con 4 habitaciones con ascensor, parking, calefacción y air",Girona - Eixample Nord,420.000 €,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_parking_calefaccion_y_air_eixample_nord-girona-i4309002466434.htm?f=&geo=c&from=list&lo=55,"PISO DE 3 HAB. DOBLES  Y TERRAZA GRANDE EN EL CENTRO DE GIRONA, PK Y TR. INCLUIDOS  Piso planta alta de 3 habitaciones..."
"Piso  en  Eixample Nord. Piso grande de 148,50m² construidos y 5 habitaciones, en pleno c",Girona - Eixample Nord,390.000 €,https://www.habitaclia.com/comprar-piso-grande_de_148_50m2_construidos_y_5_habitaciones_en_pleno_c_eixample_nord-girona-i4309002466479.htm?f=&geo=c&from=list&lo=55,"Piso grande de 148,50m² interiores construidos, en medio del centro de Girona. Con luz y sol en las dos fachadas, consta..."
